,sgId,제목,제안분야,제안시작,제안마감,제안인,투표수
0,280,행정기관 소속 위원회 위원 개인정보 및 안건 공개 기준에 관한 법적 근거 마련,일반행정,2019.10.16,2020.01.13,법제혁신,0
1,279,초과근무 줄이기!,일반행정,2019.10.16,2020.01.13,ㅁㄴㅁ,2
2,278,원스톱 의원요구자료 제출 시스템 구축,일반행정,2019.10.15,2020.01.12,연시랑,0
3,277,예산을 공평하게 분배,사회통합,2019.10.15,2020.01.12,슈퍼맨119,3
4,276,공무원 인트라넷 통합메신저,일반행정,2019.10.15,2020.01.12,페이소스,0
5,275,임대아파트 이웃 주민들에게 피해를 주는 입주민에 대한 처벌 강화를 요구합니다.,공동체,2019.10.07,2020.01.04,범이찡,6
6,274,천차만별인 지역 유류가격을 지자체별로 저가 순위 주유소와 고가주유소를 공개하여 시민에게 저렴한 주유소를 알려 서민경제 부담을 줄여 주세요.,공동체,2019.10.03,2019.12.31,청류,2
7,272,행안부 생활공감정책추진단 제안에 대한 검토방식 개선,안전,2019.09.20,2019.12.18,주주단,9
8,271,주거형 오피스텔 차별 해소 필요,일반행정,2019.09.18,2019.12.16,vision,4
9,270,국민연금불입금담보대출,보건복지,2019.09.17,2019.12.15,인생2모작,6
10,269,한 말씀,상생협력,2019.09.13,2019.12.11,진상호,2
11,268,65세 경로대상자   사전안내,보건복지,2019.09.11,2019.12.09,유 성쌤,4
12,267,한표.두표  10인 이내 투표 활용도   궁금!,국민참여,2019.09.10,2019.12.08,진상호,1
13,266,우리가  이용하는 식당 이상한점?,일반행정,2019.09.10,2019.12.08,진상호,2
14,265,빌고빌고 또 합니다,사회통합,2019.09.08,2019.12.06,올리는 시민,1
15,264,암행국(어)사제도 신설,사회통합,2019.09.07,2019.12.05,청류,5
16,263,우리의  딩동.디디.알람  어디가 옳은가요?,국민참여,2019.09.06,2019.12.04,올리는 시민,2
17,262,주거지 자치제 시민 제안  개선점 의문점,국민참여,2019.09.06,2019.12.04,올리는 시민,1
18,261,일용직   주거 실태파악,상생협력,2019.09.05,2019.12.03,올리는 시민,2
19,260,시간선택제공무원 근무시간 확대와 관련된 규정 개정 요청,일반행정,2019.09.04,2019.12.02,청운,14
20,259,부동산 관리과 신설을 제안합니다.,공동체,2019.09.02,2019.11.30,율현동,1
21,258,국민 생각함    남여  독서실 화면창  개선안,국민참여,2019.08.31,2019.11.28,올리는 시민,1
22,257,동사무소 번호표,사회통합,2019.08.30,2019.11.27,올리는 시민,1
23,256,국민 생각함   자지체,국민참여,2019.08.30,2019.11.27,올리는 시민,1
24,255,운송업 고령자 운전면허 유지 조건 강화,안전,2019.08.29,2019.11.26,연승몰이,0
25,254,한컴오피스 없으면 대한민국 정부랑 일할수 없는 규제좀 풀어주세요.,일반행정,2019.08.29,2019.11.26,워드좀했으면,2
26,253,신호등 시간에 대하여,안전,2019.08.29,2019.11.26,성성이,3
27,252,게임 내 혐오표현 강화 처벌,인권/평등,2019.08.29,2019.11.26,성성이,1
28,251,가짜 뉴스,기타,2019.08.29,2019.11.26,올리는 시민,3
29,250,고령 운전자 면허 능력검사,안전,2019.08.29,2019.11.26,까끌이,6
30,249,너.나.내  .우리  파  벌  족,상생협력,2019.08.28,2019.11.25,올리는 시민,2
31,248,중국 일명  조선족  제안,반부패청렴,2019.08.28,2019.11.25,올리는 시민,3
32,247,주.야간 전투기 비행기,안전,2019.08.28,2019.11.25,올리는 시민,2
33,246,국민의 판단,안전,2019.08.28,2019.11.25,올리는 시민,1
34,245,기독교 목사 간음 행위,인권/평등,2019.08.28,2019.11.25,올리는 시민,1
35,244,"부동산 확정일자, 민원24시(http://www.minwon.go.kr)에서 가능하도록 해요",일반행정,2019.08.28,2019.11.25,정부혁신과 사회복지,2
36,242,노인보행 안전대책 제안,안전,2019.08.28,2019.11.25,한성준,2
37,241,고령운전자문제 나이가아닌 의료적판단에따른 제한이 필요하다고 생각합니다,안전,2019.08.28,2019.11.25,홍영표,3
38,240,청와대공무직공개채용,일반행정,2019.08.28,2019.11.25,인생2모작,17
39,239,"쓰레기통이   좀  많아졌으면   좋겠읍니다,",환경,2019.08.28,2019.11.25,달토깽이,3
40,238,각종 대책에서 불구 하고 점점 떨어지고 있는 출산률,기타,2019.08.28,2019.11.25,연승몰이,2
41,237,여성 1인가구 안전 강화,안전,2019.08.28,2019.11.25,윤성이다요,1
42,236,고령 운전자들의 운전안전 확보를 위해 재교육/평가를 실시해주세요.,안전,2019.08.28,2019.11.25,mell,5
43,235,국민 생각함,상생협력,2019.08.27,2019.11.24,올리는 시민,0
44,234,가로등 통반리  제안,사회통합,2019.08.26,2019.11.23,올리는 시민,1
45,233,외국인 등록증의 영어 이름을 바꿔요!,인권/평등,2019.08.24,2019.11.21,디딤돌,2
46,232,"정부1번가 /시민 제안  차이점 있는지,",국민참여,2019.08.22,2019.11.19,올리는 시민,0
47,231,횡단 보도 정지선,안전,2019.08.21,2019.11.18,올리는 시민,3
48,230,교차로 신호등 점멸시 교차로 차량통과 시속30km이하로 제한해요.,기타,2019.08.15,2019.11.12,정부혁신과 사회복지,2
49,229,유기동물 안락사 문제를 정부 차원에서 해결해주세요,기타,2019.08.09,2019.11.06,유리,0
